gNa,gCaS,gCaT,gKa,gKCa,gKd,gH,gleak
3025.0641683027256,101.54762918394849,6.578908345677386,1748.7291360447578,150.88770443886,378.77669555813685,1.1898586314527542,0.03878950968539722
4853.443493439554,151.05613215187705,17.305226964272688,2626.777031235522,2866.4170436023383,1227.4223488354155,1.495252173431345,0.06223428096797376
4907.8028759372555,252.1249661499533,29.926118189929085,4506.728272701402,645.4148492737105,881.5894990712212,2.950495933198216,0.06293131537008029
3841.829999450254,187.891394339281,10.833770095665447,3218.82184708017,159.89632874118692,476.8613439814837,2.2699118244013534,0.04926265813955856
3550.3947896823156,88.19939366074031,16.760077368107908,1642.8597226241138,1698.2363273076758,819.3262871217769,1.0320678812879491,0.045525670008724324
5356.549697496528,108.78678708326387,26.13357412558184,2089.5114215234303,2454.335696720983,1255.6529144518195,1.1970264547245457,0.06868546411295837
4178.958580525751,182.3564332323976,18.08911651770363,3209.8866583991176,1684.2560953101233,597.7253282445995,1.9811325337249035,0.05358555895530864
3443.5788394714823,164.1860545078242,9.643273465156494,2762.627493575201,2324.655830259984,728.31827382089,1.703420669612317,0.04415600043983623
4429.122220915534,201.52834671741417,19.149313587229095,3506.676705098208,2158.835475657333,769.004579573461,2.009830973135047,0.05679333386914731
2764.327375786532,87.30684389239465,10.38650217806809,1543.108065380127,1573.8884052110243,628.500373956228,1.0156045789157573,0.035446158346069796
3921.5646094865356,202.9935443377592,29.901454350002233,3703.9609714270655,619.5934983654283,892.6346424013436,2.496023751517526,0.0502850716343437
4528.473485196064,161.8534511694053,8.609682099475746,2723.06576711241,775.194743844669,841.872228068428,1.7941475941886313,0.05806728596194814
4030.5027070206343,126.64916200443588,16.468035176504454,2247.8024229870316,2321.9223160273477,957.3804658420542,1.3833769060374674,0.05168195287530547
2584.972322493285,105.54432066591872,10.670696841465,1866.2750172662556,551.96386958759,422.0719218310375,1.287035844545818,0.03314634115549868
5249.642967833784,152.02087221125774,11.906389029835692,2578.9865347022974,3566.387108318424,1042.4724269924102,1.3859637861426086,0.06731463050581084
1576.1709107998495,25.87043047715387,3.961417802009436,462.7249935954096,80.28969077231885,342.35425904113526,0.27084207021917894,0.020210776832749088
3721.9238406941913,76.83177229176076,7.825696331651205,1314.5787206004475,1531.9672503015845,900.2999990304195,0.800804249991398,0.04772513666971924
3460.953219388972,124.33848409126841,13.305637420983668,2193.815336569888,1807.9518502264375,630.8852859343614,1.4134090388659537,0.044378787012481186
3460.8432999278893,171.54261149224416,13.017189290840328,2939.269017629208,676.5214377509775,819.8938437617043,2.0115172127957632,0.044377377547503566
3501.9377923198667,157.47542468112496,10.920665160793737,2691.7513003489903,1974.9209696356857,607.9245471608692,1.7018046924275796,0.044904320158294354
4539.043975402537,188.80310999687845,11.963994533128066,3238.506152799254,2304.0847531208533,374.73787441005896,1.8707641206369514,0.05820282825441908
2483.9002499598046,31.373446216424615,5.024022211507064,572.9811667620515,1449.017534093295,392.83763347523944,0.302158459203071,0.031850323643691544
4025.5257778208183,132.7391919942583,12.799307031047988,2338.964846314179,1349.5047658447265,547.100794777905,1.5041834811504817,0.05161813517337946
4004.4938029004065,176.57824906826596,18.449059123961273,3102.7290767078252,1813.99430065599,754.1399029121776,1.9123195156009898,0.051348448333864885
4580.372939987765,172.55590897420666,23.388512658971525,3135.1125432216354,1607.642121252108,636.4928459581535,1.9279623249065243,0.05873277743330395
5365.8386732321205,179.36968159914903,31.112959578751425,3274.2121761682997,4249.489565313516,1179.7654873594618,1.4834062256097218,0.06880457392161586
5105.880888728981,192.34672046605948,30.04828491496004,3493.1590969802733,1400.2809290037364,1267.3536920973297,2.1251156204996775,0.0654712115733267
5382.947115784834,192.13988956358,9.98187166290763,3225.7776726260445,4181.634581669657,524.286610100508,1.4712745173577788,0.06902395045751027
3063.0765254426374,35.58736243715187,11.27917630580788,721.3125956569236,1402.3909374350908,601.8922806832181,0.375622952084338,0.039276930980751315
2255.2296584870282,52.641069481261766,9.258667498987263,967.8174136878712,113.3368447168703,529.2445938875569,0.6213177051191868,0.028918147785856614
4443.856427903017,212.08506266279682,42.83076045805118,4046.3321903294,920.5160081636611,897.0391666209745,2.589455772821407,0.05698226627945327
3925.7726693291247,90.02250636226172,20.087945348665524,1712.5127045230975,1036.483898695506,968.3445280495104,1.0725918022038925,0.05033903035023846
5312.833249035755,141.58464433664318,17.2991203098475,2487.2987356303934,323.7685114209355,1321.159060011405,1.6124372717826596,0.06812490092929151
4010.5238618164844,122.52015483181961,5.451970648122311,2042.3537265893706,3051.322044173405,660.5894161052199,1.2336163387681385,0.051425770008948546
2413.122542918127,59.39411872068868,7.329539618722889,1064.455558176763,680.8259314349505,393.5750230507687,0.6859956726818767,0.030942761886301205
3399.6643432893266,100.82576013995761,11.930603037212572,1789.8892176738177,694.945369247453,674.7156235435319,1.1795448175061982,0.043592897748383964
3000.306815969179,146.10428687694295,7.482323067829991,2446.8121439052584,1235.8150852918784,698.4332600574185,1.650902173483994,0.038472053425067466
5209.841753401946,68.55575486105663,7.834220838694761,1181.0859790405025,2096.2525195828875,1035.2661909399746,0.6117101267283854,0.06680427121860254
5120.680393477872,175.8999823167005,21.5624280456627,3185.461497512663,645.2661548704167,573.1171909940805,2.0770358622715848,0.06566098127765609
2399.3348800256367,62.65267533926506,9.125488226773982,1132.3266521211908,351.0715005694253,512.2188844932485,0.740391088522558,0.030765966733024404
3523.6998965994094,171.24806938188624,12.387715846083294,2917.8511951145606,1461.253479406654,811.8225678436579,1.8897413682304671,0.04518336923221848
4213.340506772147,239.17477865492506,20.672357846466806,4080.0530354373414,2701.509570149154,1246.4120111721265,1.8950671397466112,0.067533035376491
3665.461205472088,113.85544093200906,20.01462092858172,2115.9686417922635,2423.575762769356,982.2101428467313,1.2116891454471113,0.05875141609429112
3630.547700838755,225.02535858692195,11.465209698965095,3860.6774679505925,475.3236767955509,372.8052159500152,2.5721230562601622,0.0581918090699525
3886.9907616560718,108.07765519259789,9.154792680323,1928.8504720456447,2505.0888212307646,352.2808874375757,1.0799044475035033,0.06230217666791793
1864.0940442824672,52.554328871287694,8.132021698177425,951.3510846939462,1156.4328623436684,592.3192874667607,0.5753761863952541,0.029878413300632366
3604.9130787969916,206.7883595076461,16.36355734380734,3498.3456385001405,3527.65189176042,1139.4516452328287,1.6222836418251099,0.057780927529657605
4033.5002011103816,175.79834267267688,24.857987033387374,3240.2885750553246,689.7721427765666,676.5704556259639,2.050191216923472,0.06465048607745999
2448.8875514484653,44.28485580985778,6.255549141256081,823.9508234944188,253.09847618850853,357.12285297375354,0.42671361444448763,0.03925170761280729
1956.0733195609528,127.64749417026881,6.991011770527612,2163.2728604222707,925.343647220129,532.7725843872687,1.477673493662706,0.03135269235339393
4278.239883947736,173.1525329168528,13.754771112583805,2978.7287656390463,2167.5716948159793,1013.4154051394414,1.6626433207942726,0.06857326745070068
3011.5440639620824,86.74043910752776,5.243115143559926,1489.1797480856521,569.6054538185986,553.4183800942731,0.8980258983817917,0.04827018169609601
3612.0212845150595,220.2776499111838,17.29911046946174,3801.2039282834075,2081.562791174824,690.6335299457538,2.087982116154562,0.05789486057339098
1712.5554937826614,20.595497390974522,3.3431684420660472,386.7083944981474,796.6412556072019,290.7876703611657,0.15233861855380174,0.027449495373074277
2475.339366820066,26.404512362745663,7.190567500336929,542.3669759245773,2106.0036880800913,400.28798094717774,0.20096143494132995,0.03967568744078262
3398.807488939949,72.39402932228612,11.006370917029365,1352.3446936153323,1029.234235916141,536.5176796692152,0.7423782421297644,0.05447738819578793
4173.037156218833,86.93478421737163,7.41443247302682,1544.1164015274082,3400.999581597992,540.163440880647,0.7849620411550634,0.06688703783740453
4232.5955132023,268.7126425349601,16.202719636384135,4574.191107205609,1508.6597144759955,682.0216883647986,2.5266647531284026,0.06784166199433306
2808.7719042728518,54.963152090958644,12.568884251077437,1058.810983374671,1014.3959443539246,749.1770325926494,0.5702943494131572,0.04502007185767918
2500.6237896861394,70.13294241052539,5.475861838770555,1228.1725573124193,401.2635835522215,414.096528720583,0.740179257090072,0.040080955854561215
3037.6632605094524,109.72305970453513,7.4149863233078275,1848.2002258417997,3020.394575418293,942.3824962295281,1.0872330405596964,0.04868883018216161
3774.9156339760107,203.59023717123827,14.974705596788038,3578.8393993592103,351.2464213815106,313.7727876035191,2.384714712367687,0.06050579359603543
3670.021122840082,235.3457254130347,9.815501828626255,3923.6699596769486,751.8508234918207,1036.6736193198176,2.534318806581195,0.058824504196340235
1819.2030415381441,103.17584352770261,3.055179988240971,1730.8104868978432,1590.4599118937242,263.6591356806841,1.1587323988131923,0.029158883115130915
2011.2298280759703,117.79864207232515,4.561426067772115,1993.8522392271425,1584.6396083563202,266.35092219508346,1.3237994706913234,0.03223676199713655
3522.39089800509,203.3071088733751,15.203527933935895,3513.651173683673,1534.7456014846232,664.4891370314815,2.1069054432861805,0.056458230409449264
1916.1143139531532,38.05924407177047,5.05203254648255,693.2914028144156,548.8288038000853,366.30284239997167,0.37321403315056306,0.0307122141069803
1631.8607447038514,91.12021642888735,5.111675703704098,1543.7575220302263,1083.3444519988986,635.8915673294027,0.9726993873149676,0.03487478537104047
2337.685395232737,200.13404447049652,8.19677779095101,3377.241661578778,456.58942330099563,705.9778122008004,2.2451875974802102,0.04995908914921103
2441.495482632786,185.75846429233252,21.778503918874396,3302.3417764998667,2006.153086753941,986.9063223659662,1.8830341318511008,0.05217763293683225
2953.430508502467,151.19359036670937,11.086532149450022,2633.3095841370614,1250.5332810612956,769.0534647506348,1.5456068763067548,0.06311828716181223
1729.1249207479145,100.86319715518583,9.795068315159925,1774.4076562845562,1725.6990155817416,645.0873464638782,1.1042299192483636,0.03695343532621381
3139.7172800396224,251.85999724186004,28.99667028608068,4462.294001073216,1937.3639065044126,1087.8263370808443,2.248129893842862,0.06709945479263318
2917.0113810244757,94.23445559471318,14.488750858282037,1763.0099209075902,411.06749426663816,776.8449411453197,0.9629496245873468,0.06233996752987206
1079.4460399475604,93.39830949974565,4.045617863060011,1575.385470908233,733.755060105346,385.8979635463439,1.0765596673366065,0.023069032749864087
2348.849769457419,180.04192371065184,22.066771751465847,3236.1160384637765,1581.3281356673597,827.5309941500559,1.93746669891736,0.05019768497066908
3195.4872901587523,219.10950952512795,20.12442179109023,3875.069692955185,1072.5772487090844,739.331546616169,2.292925594859231,0.06829132556920388
2543.662190149479,116.94618103996844,16.36373747041608,2119.784385061636,2973.3884451796443,971.8400293426694,1.1663770077853128,0.05436105576152747
2612.3904511949036,114.80386756022163,8.746039521440597,1968.0350324400479,1691.7230654947123,1039.9038748434118,1.125502532424312,0.05582985961667444
2653.981754731191,47.10187389834371,9.426194025694844,914.340940846379,1816.4046519849542,725.4160217295899,0.3447196038626128,0.05671871474039583
3096.6057298296228,255.82868008744123,24.139296012160017,4496.786091126651,237.92456870309078,1221.5599104270036,2.9908390738547284,0.06617811020764568
3018.3172202173923,157.14414599435918,9.294212916927648,2703.4622423078836,570.6499888165781,824.4338720527292,1.6537629655676125,0.06450499258495253
1600.8427732937553,135.33250034680626,4.981774899164025,2260.668081903835,420.802531258704,644.4241258506358,1.5363254923064573,0.03421189480327423
3008.8470743595744,118.40053296860916,23.332090014362745,2247.8808583404075,893.9465684190175,1193.5338533208853,1.285350306460539,0.06430260441837905
2750.0967854030246,92.2205306371111,14.376896966175698,1693.9690310767628,1426.335514234737,1032.400642499826,0.9140621692968209,0.05877280610602856
2843.7227247632136,98.15940720213676,10.29422093686165,1716.6413906322532,1888.3966271013328,1152.714182696556,0.913766547628969,0.06077370265982193
2310.4056504342675,116.33581674118831,12.203393171606463,2070.287402229733,2772.9162845894075,693.6262530649901,1.1804048781462926,0.04937608888530308
1356.3140750432024,47.6069024739099,8.187304498572258,890.5738820577727,1795.2769921411398,483.25616489158074,0.42553209181596446,0.028986028627974097
2707.429122790905,197.53796917807807,7.014217150571499,3331.7538078407642,1785.2963112545444,476.4385313275145,1.7578741170637477,0.05786094792161485
2010.5051033135749,55.6809472705264,8.398770808669513,1021.5526324603073,265.0415159486485,705.835630421093,0.409982327463894,0.042966861108094764
3131.2514595844364,120.21784654941196,8.584813730246886,2036.8790820812935,1976.097701908693,1324.7183108059794,0.9147298618074338,0.06691853024234752
2211.589919662164,68.39785082146456,13.578211462375256,1290.0943180466047,1161.9929035440366,925.3319577269536,0.5662242966671275,0.04726428037888236
2550.022152051465,171.23893018517222,12.976052781452807,2962.7504065970597,291.43791789629165,959.2026438408036,1.7920361652091115,0.05449697563521744
2981.948133576851,139.6635488647857,35.767807586698225,2784.5041050146338,297.4713404828831,1211.1606709067282,1.537261777046464,0.0637277423846238
1760.0765167509608,67.57102895401484,6.115355714810335,1206.1379777328086,1770.6657360209117,388.89562396264967,0.5893447680745809,0.037614907373384895
1917.2569269764556,88.39129412628989,12.557019225355608,1629.6707683648058,219.17273862333255,579.1666357662554,0.8927798219550801,0.04097403779486031
3195.3502075029555,123.59740285541342,9.91065828539814,2116.863641923517,1724.0000611927253,1303.8038507610465,0.9655694856218835,0.06828839595145646
2337.2302338422546,197.66708588775344,7.357557683938465,3280.8146632207604,1214.02220554581,996.124938988849,1.9055191379922973,0.04994936181441621
2315.788158800391,167.01687630061366,6.9550494518159605,2847.3844622763077,427.5707491596647,459.8002638222667,1.7374873871429104,0.04949111942613543
2245.760506386733,31.83359729460199,11.076182870789937,684.0898024344482,1901.9149655322003,674.218991136994,0.09164778069814525,0.04799454604762246
1229.9541606606401,95.09093732988839,6.142736404332396,1628.8500038854002,244.0800552522664,493.7618782526815,1.0357394927673098,0.026285568488898535
2307.9612049212524,191.803398792576,11.061777079894034,3325.1926937462335,890.2656103829116,276.1602233993608,1.994216857067788,0.04932384820674378
1669.34268491576,93.62880960600498,7.928179345261127,1652.8996667660547,1714.91260334469,403.52779844005966,0.9321930577301184,0.03567581856239756
1626.5353409547913,70.14075598563598,3.792598145163506,1196.1302667956404,2107.714020514651,498.9399574447849,0.6106072998427758,0.034760975223106366
2837.0911504474325,230.37881423868137,14.14844869215113,3908.35805020164,1046.0876645645255,1161.5088695563334,2.2076333729615762,0.060631978109068715
1970.2461879447258,130.8659481023056,4.611227058930284,2200.0079183636253,358.4301672037563,586.7729766064589,1.3320563358757775,0.04210648068818688
3216.0384547654958,267.3597604039044,25.84012787914876,4659.6038911582755,2057.3526850777052,1026.140936950812,2.047228323649557,0.06873052815258067
3245.584066816187,66.24132879775843,5.087635014740264,1157.1625542278268,1693.2662415842037,326.9093181476643,0.5214274900536043,0.04161717160042034
2910.766274212482,146.4162586622771,12.231096548815632,2529.139556706928,171.80577189941778,713.9372439955388,1.631211657808196,0.03732390134680731
2981.464228610792,25.233143533601403,10.336100344297884,521.1870027044451,185.92463184221248,749.9997609452433,0.06126413849012967,0.03823044045946675
4941.609884959154,81.48615390272276,6.8631690254792455,1438.0748864886766,1416.2916095815754,443.7726778542441,0.5386456541494408,0.06336481272118774
2472.115402838026,104.66043042945661,3.2656704399145986,1733.0822715546058,1987.99436244397,428.3488515966623,1.0261286322867769,0.0316992100090252
3367.9529069743485,144.58440503456342,7.860217783705759,2445.6497397579224,2434.6884054510065,501.3399444356483,1.3427417206138905,0.043186271310846985
2708.0032384146048,91.53793540158352,7.24208110307549,1584.8923027703936,1456.7597137938662,427.86755069031574,0.9008663668503278,0.03472393046905394
4111.97249992355,173.44872538788707,18.235354152878788,3060.371057116785,957.7396133511835,757.9238571456715,1.7770863323133734,0.05272661611054785
4669.5091549862,52.04929796385653,6.109737603796475,869.6079945850098,1171.5347903819004,1137.1471830294024,0.15344534838401905,0.059875744948251375
4899.330269629034,220.17109586434339,38.53946758073253,4092.1877636291033,954.4425701178196,1103.4629073520562,2.3059069154727267,0.06282267362690772
5220.542706063782,167.83022341278263,10.522432962863935,2853.3924514074274,1196.2842419989881,830.7856635644521,1.494752890909256,0.06694148639283541
3166.369308441096,155.38813880768035,12.024425532188427,2700.792578510621,781.437521901636,428.00997914854696,1.6681845188830753,0.040601424010860615
2842.8317667867655,83.75048372472355,9.434954026995383,1488.7045719210919,865.7925174598433,478.8624166325292,0.8215192756497007,0.03645279710334228
3010.5254350852942,116.32319750730846,7.399775514735878,1984.7537107435037,2170.792002578105,476.706192648694,1.1219742727347042,0.038603083777854444
3740.0448169204747,91.7392076055199,8.356202735068607,1564.6556968165905,2807.8556435842042,884.6921334752495,0.744555246352406,0.04795749662763466
2857.8003959786306,114.57842471977597,6.535254059836314,1919.8710252739947,1406.0476190014003,701.1758844754108,1.129135506092872,0.03664473544074976
2950.1260558293247,120.68319092534618,12.81431453950049,2117.106783706962,2306.2744523883107,656.7338792212047,1.2017998265690122,0.03782860027063155
5298.503069184291,207.50039596076024,8.030395783237601,3425.4881611456453,593.1290633389293,1188.6429434356587,1.966140010557733,0.06794114924033023
2516.055331280365,93.04957380553412,3.421358474023321,1565.416416846574,423.5790273217442,289.84487971734495,0.9334417637453426,0.032262638810882996
1852.0900107530542,59.24847745234987,4.194916355171597,1005.6892900517407,1267.441110540783,412.0984113672541,0.5718977805925309,0.023748806442886555
3280.1843321371753,111.14725202844897,7.886657766516383,1907.4560897140257,574.7410621643816,557.6414714605002,1.0987872723109982,0.04206084064415465
1708.2131369979732,37.14807230385267,3.9838034118823034,643.7829881816634,1236.7859493007502,384.28593610319126,0.3082858075582507,0.02190391553230509
3533.6960235150405,27.60708381103764,7.314610297114416,539.1347656107132,2076.1398254224405,566.8507591742547,0.012982543480337023,0.045311546632841315
2304.7341448585307,99.80320224572846,6.552827332505896,1701.5463596340082,1784.197452274908,445.61819013670606,1.0243254435048699,0.029552929280311786
4680.20479644868,45.27314971112039,9.07579612660586,847.4606265285307,2625.701707286543,740.139712964489,0.11795434206389009,0.06001289201853424
3434.861083820551,174.79657667644946,17.98322823346364,3066.2200529029383,835.733223581073,815.5394408600321,1.8764467372901072,0.04404421521861679
